,办税服务厅代码,平均办理时间,管户数,等候超时率,平均等待时间,日均业务量,日均服务人次,占空比,不满意数,物理窗口数,日平均在线窗口数,前台人数,评价率,满意率,FWT,未评价总数,满意总数,上级税务机关,显示序号,地址,行政区域代码,窗口数
1,24419290000,1.83,15316,36.51,28.61,655,295,31.8,0,19,11,22,0,0,万江办税服务厅,37128,0,24419000000,6326,东莞市万江区牌楼基贯诚大楼,441900,19
2,24419240000,2.02,6891,12.78,11.54,307,93,25.5,0,10,6,12,1.26,100,东坑办税服务厅,11265,144,24419000000,6237,东莞市东坑镇乐然街60号,441900,10
3,24419300000,2.19,31232,38.65,34.1,1184,802,38.9,0,18,17,44,3.35,99.97,东城办税服务厅,98503,3416,24419000000,6328,东莞市东城大道东城经济服务大楼一楼,441900,18
4,24419010000,2.51,7593,22.04,19.25,289,122,41.7,0,9,7,11,0.12,100,中堂办税服务厅,15410,18,24419000000,6114,东莞市中堂镇斗朗工业大道,441900,9
5,24419250000,2.63,7417,29.21,17.59,271,82,34.8,0,7,5,14,0.53,100,企石办税服务厅,10083,54,24419000000,6318,东莞市企石镇振兴路（公安分局前500米）,441900,6
6,24419190000,2.28,17236,30.56,23.67,644,241,46.3,0,14,11,17,0.08,100,凤岗办税服务厅,30549,23,24419000000,6227,东莞市凤岗镇商业街政通路,441900,14
7,24419280000,2.59,36206,39.02,31.27,1201,742,30.5,0,34,25,52,0.12,100,南城办税服务厅,94173,116,24419000000,6324,东莞市南城区银丰路4号,441900,34
8,24419080000,2.05,25262,28.72,22.14,925,434,33.9,0,16,15,40,0.03,100,厚街办税服务厅,54710,14,24419000000,6205,东莞市厚街镇厚街大道,441900,16
9,24419180000,2.35,26221,45.88,38.96,698,348,38.3,0,17,14,20,0,0,塘厦办税服务厅,43859,0,24419000000,6225,东莞市塘厦镇行政新区塘福路6号,441900,17
10,24419130000,1.82,17786,37.58,29.3,590,254,40.4,0,12,9,16,0,0,大岭山办税服务厅,31287,0,24419000000,6215,东莞市大岭山镇教育路农场路段,441900,12
11,24419140000,1.8,20785,22.29,17.14,723,240,42.7,0,12,10,17,0.17,100,大朗办税服务厅,30129,52,24419000000,6217,东莞市大朗镇政通路68号,441900,12
12,24419120000,1.69,22434,20.14,16.58,796,332,29.9,0,13,11,26,0,0,寮步办税服务厅,41558,0,24419000000,6213,东莞市寮步镇行政中心区,441900,13
13,24419210000,2.17,23042,53.91,48.85,805,328,46.2,0,15,11,16,0.12,100,常平办税服务厅,40896,51,24419000000,6231,东莞市常平镇下中元街86号,441900,15
14,24419020000,2.04,2655,5.54,7.57,172,44,13.3,0,9,6,14,0.04,100,望牛墩办税服务厅,5396,2,24419000000,6116,东莞市望牛墩镇宝华路（镇影剧院斜对面）,441900,9
15,24419100000,2.35,3349,23.01,19.85,354,115,45.4,0,12,7,19,0.24,100,松山湖办税服务厅,14157,34,24419000000,6209,东莞市松山湖管委会B1栋一楼,441900,12
16,24419220000,1.92,10011,43.93,28.31,355,102,43.1,0,9,5,12,0.13,100,桥头办税服务厅,12638,17,24419000000,6233,东莞市桥头镇工业大道北,441900,9
17,24419160000,1.58,12715,40.93,30.47,580,165,47.6,0,9,8,14,0,0,樟木头办税服务厅,20821,0,24419000000,6221,东莞市樟木头镇维多利大道37号,441900,9
18,24419230000,1.79,14759,16.08,14.66,454,147,26.1,0,8,6,10,0.72,100,横沥办税服务厅,18385,133,24419000000,6235,东莞市横沥镇中山路裕宁工业区,441900,7
19,24419090000,1.85,7313,34.87,29.4,467,137,46.8,0,10,7,11,0.12,100,沙田办税服务厅,16938,21,24419000000,6207,东莞市沙田镇中心区沙太二路,441900,10
20,24419070000,2.81,1802,2.51,3.49,118,44,9.7,0,7,6,7,2.33,100,洪梅办税服务厅,5362,128,24419000000,6203,东莞市洪梅镇桥东路20号,441900,7
21,24419170000,1.51,12916,6.21,8.1,552,212,24.9,0,13,10,14,0,0,清溪办税服务厅,26023,0,24419000000,6223,东莞市清溪镇行政中心区（财经大厦后面）,441900,13
22,24419260000,1.76,9386,46.34,23.16,377,92,34.5,0,9,6,10,0,0,石排办税服务厅,11430,0,24419000000,6320,东莞市石排镇公园南路,441900,9
23,24419050000,2.02,12554,8.35,9.74,469,189,35.9,0,15,8,16,0,0,石碣办税服务厅,24013,0,24419000000,6122,东莞市石碣镇新城区东风南路43号,441900,15
24,24419320000,1.69,9987,16.19,13.19,244,85,21.4,0,10,6,14,0.01,100,石龙办税服务厅,10274,1,24419000000,6332,东莞市石龙镇西湖中路60号,441900,10
25,24419270000,1.89,10110,11.99,12,384,164,20.8,0,12,7,13,1.1,100,茶山办税服务厅,20324,227,24419000000,6322,东莞市茶山镇茶山大道中198号,441900,12
26,24419310000,1.85,14760,31.24,23.7,785,375,32.7,0,18,15,32,0.03,100,莞城办税服务厅,46901,13,24419000000,6330,东莞市东城西路191号莞城办事中心内,441900,18
27,24419330000,1.56,47161,9.31,11.22,876,433,30.7,0,19,13,38,0.74,100,虎门办税服务厅,54957,409,24419000000,6334,东莞市虎门镇行政小区,441900,19
28,24419200000,2.38,5006,4.1,5.65,144,93,14.2,0,7,6,9,0,0,谢岗办税服务厅,11612,0,24419000000,6229,东莞市谢岗镇振兴路,441900,7
29,24419060000,1.76,5724,3.59,5.11,344,135,24.1,0,12,7,13,0.13,100,道虬焖胺务厅,16817,22,24419000000,6124,道蛘蚯哦大街,441900,12
30,24419110000,1.78,42692,17.93,11.63,952,402,27.7,0,21,16,33,0.02,100,长安办税服务厅,51016,8,24419000000,6211,东莞市长安镇长怡路,441900,20
31,24419040000,2.04,6322,18.12,13.76,235,83,25.8,0,11,8,11,0,0,高栋焖胺务厅,10341,0,24419000000,6120,东莞市高墩蛘裥四下152号,441900,11
32,24419030000,2.65,3886,11.26,14.03,298,84,25.2,0,10,8,12,0.06,100,麻涌办税服务厅,10298,6,24419000000,6118,东莞市麻涌镇中麻公路东太路段,441900,10
33,24419150000,2.05,13333,18.86,15.95,535,178,45.1,0,10,9,15,0.74,100,黄江办税服务厅,22668,170,24419000000,6219,东莞市黄江镇黄江大道190号,441900,10
